sample	samples	MRPS16	primary disease or tissue	_primary_site
GTEX-131YS-0011-R9b-SM-5EQLY	GTEX-131YS-0011-R9b-SM-5EQLY	10.89	Brain - Spinal Cord (Cervical C-1)	Brain
TCGA-DB-A4XD-01	TCGA-DB-A4XD-01	10.89	Brain Lower Grade Glioma	Brain
TCGA-HT-A616-01	TCGA-HT-A616-01	10.89	Brain Lower Grade Glioma	Brain
TCGA-TM-A84J-01	TCGA-TM-A84J-01	10.89	Brain Lower Grade Glioma	Brain
TCGA-06-2557-01	TCGA-06-2557-01	10.89	Glioblastoma Multiforme	Brain
TCGA-76-4925-01	TCGA-76-4925-01	10.89	Glioblastoma Multiforme	Brain
GTEX-13OVJ-0011-R3b-SM-5P9H6	GTEX-13OVJ-0011-R3b-SM-5P9H6	10.88	Brain - Anterior Cingulate Cortex (Ba24)	Brain
GTEX-ZUA1-0011-R3a-SM-4YCEE	GTEX-ZUA1-0011-R3a-SM-4YCEE	10.88	Brain - Anterior Cingulate Cortex (Ba24)	Brain
GTEX-145MH-0011-R10b-SM-5PNUK	GTEX-145MH-0011-R10b-SM-5PNUK	10.88	Brain - Frontal Cortex (Ba9)	Brain
GTEX-N7MS-0011-R10A-SM-2HMJK	GTEX-N7MS-0011-R10A-SM-2HMJK	10.88	Brain - Frontal Cortex (Ba9)	Brain
GTEX-Q2AG-0011-R10A-SM-2HMLA	GTEX-Q2AG-0011-R10A-SM-2HMLA	10.88	Brain - Frontal Cortex (Ba9)	Brain
GTEX-13N2G-0011-R4b-SM-5MR54	GTEX-13N2G-0011-R4b-SM-5MR54	10.88	Brain - Amygdala	Brain
TCGA-DU-A7TG-01	TCGA-DU-A7TG-01	10.88	Brain Lower Grade Glioma	Brain
TCGA-HT-8107-01	TCGA-HT-8107-01	10.88	Brain Lower Grade Glioma	Brain
TCGA-P5-A731-01	TCGA-P5-A731-01	10.88	Brain Lower Grade Glioma	Brain
TCGA-06-0171-02	TCGA-06-0171-02	10.88	Glioblastoma Multiforme	Brain
TCGA-12-0821-01	TCGA-12-0821-01	10.88	Glioblastoma Multiforme	Brain
TCGA-26-5132-01	TCGA-26-5132-01	10.88	Glioblastoma Multiforme	Brain
TCGA-26-5133-01	TCGA-26-5133-01	10.88	Glioblastoma Multiforme	Brain
GTEX-144FL-3026-SM-5O99C	GTEX-144FL-3026-SM-5O99C	10.87	Brain - Cortex	Brain
GTEX-12ZZX-0011-R2a-SM-5EGLG	GTEX-12ZZX-0011-R2a-SM-5EGLG	10.87	Brain - Substantia Nigra	Brain
GTEX-145MH-0011-R3b-SM-5P9JQ	GTEX-145MH-0011-R3b-SM-5P9JQ	10.87	Brain - Anterior Cingulate Cortex (Ba24)	Brain
GTEX-13N2G-0011-R10a-SM-5MR34	GTEX-13N2G-0011-R10a-SM-5MR34	10.87	Brain - Frontal Cortex (Ba9)	Brain
GTEX-13RTJ-0011-R10b-SM-5O9CW	GTEX-13RTJ-0011-R10b-SM-5O9CW	10.87	Brain - Frontal Cortex (Ba9)	Brain
GTEX-WZTO-0011-R10B-SM-4E3KB	GTEX-WZTO-0011-R10B-SM-4E3KB	10.87	Brain - Frontal Cortex (Ba9)	Brain
GTEX-WZTO-0011-R8A-SM-4E3II	GTEX-WZTO-0011-R8A-SM-4E3II	10.87	Brain - Hypothalamus	Brain
GTEX-13SLW-0011-R4b-SM-5S2W2	GTEX-13SLW-0011-R4b-SM-5S2W2	10.87	Brain - Amygdala	Brain
TCGA-06-0132-01	TCGA-06-0132-01	10.87	Glioblastoma Multiforme	Brain
GTEX-11NUK-2926-SM-5A5MD	GTEX-11NUK-2926-SM-5A5MD	10.86	Brain - Cortex	Brain
GTEX-13FXS-0011-R10a-SM-5J2MA	GTEX-13FXS-0011-R10a-SM-5J2MA	10.86	Brain - Frontal Cortex (Ba9)	Brain
GTEX-13N1W-0011-R10b-SM-5MR4H	GTEX-13N1W-0011-R10b-SM-5MR4H	10.86	Brain - Frontal Cortex (Ba9)	Brain
GTEX-131XH-0011-R6a-SM-5KM2G	GTEX-131XH-0011-R6a-SM-5KM2G	10.86	Brain - Nucleus Accumbens (Basal Ganglia)	Brain
GTEX-13O3Q-0011-R8b-SM-5KM2J	GTEX-13O3Q-0011-R8b-SM-5KM2J	10.86	Brain - Hypothalamus	Brain
GTEX-13QIC-0011-R4a-SM-5PNX8	GTEX-13QIC-0011-R4a-SM-5PNX8	10.86	Brain - Amygdala	Brain
TCGA-DU-6396-01	TCGA-DU-6396-01	10.86	Brain Lower Grade Glioma	Brain
TCGA-HT-A4DS-01	TCGA-HT-A4DS-01	10.86	Brain Lower Grade Glioma	Brain
TCGA-06-0210-01	TCGA-06-0210-01	10.86	Glioblastoma Multiforme	Brain
TCGA-06-0646-01	TCGA-06-0646-01	10.86	Glioblastoma Multiforme	Brain
TCGA-32-5222-01	TCGA-32-5222-01	10.86	Glioblastoma Multiforme	Brain
GTEX-1399T-0011-R2b-SM-5DUXM	GTEX-1399T-0011-R2b-SM-5DUXM	10.85	Brain - Substantia Nigra	Brain
GTEX-PVOW-0011-R3A-SM-32PKX	GTEX-PVOW-0011-R3A-SM-32PKX	10.85	Brain - Anterior Cingulate Cortex (Ba24)	Brain
GTEX-13X6J-0011-R10b-SM-5PNWA	GTEX-13X6J-0011-R10b-SM-5PNWA	10.85	Brain - Frontal Cortex (Ba9)	Brain
GTEX-13X6K-0011-R10a-SM-5P9JR	GTEX-13X6K-0011-R10a-SM-5P9JR	10.85	Brain - Frontal Cortex (Ba9)	Brain
GTEX-139TT-0011-R5b-SM-5K7W8	GTEX-139TT-0011-R5b-SM-5K7W8	10.85	Brain - Caudate (Basal Ganglia)	Brain
GTEX-ZDXO-0011-R5a-SM-4WKG5	GTEX-ZDXO-0011-R5a-SM-4WKG5	10.85	Brain - Caudate (Basal Ganglia)	Brain
GTEX-13X6J-0011-R6a-SM-5PNUB	GTEX-13X6J-0011-R6a-SM-5PNUB	10.85	Brain - Nucleus Accumbens (Basal Ganglia)	Brain
GTEX-11GSP-0011-R8b-SM-5NQ79	GTEX-11GSP-0011-R8b-SM-5NQ79	10.85	Brain - Hypothalamus	Brain
GTEX-ZVT3-0011-R8b-SM-57WDJ	GTEX-ZVT3-0011-R8b-SM-57WDJ	10.85	Brain - Hypothalamus	Brain
GTEX-145LU-0011-R9b-SM-5SI66	GTEX-145LU-0011-R9b-SM-5SI66	10.85	Brain - Spinal Cord (Cervical C-1)	Brain
TCGA-E1-A7Z6-01	TCGA-E1-A7Z6-01	10.85	Brain Lower Grade Glioma	Brain
TCGA-06-0156-01	TCGA-06-0156-01	10.85	Glioblastoma Multiforme	Brain
TCGA-06-1804-01	TCGA-06-1804-01	10.85	Glioblastoma Multiforme	Brain
GTEX-131YS-0011-R3b-SM-5DUXB	GTEX-131YS-0011-R3b-SM-5DUXB	10.84	Brain - Anterior Cingulate Cortex (Ba24)	Brain
GTEX-13G51-0011-R6b-SM-5LZX4	GTEX-13G51-0011-R6b-SM-5LZX4	10.84	Brain - Nucleus Accumbens (Basal Ganglia)	Brain
GTEX-QMR6-0011-R8A-SM-32PKJ	GTEX-QMR6-0011-R8A-SM-32PKJ	10.84	Brain - Hypothalamus	Brain
TCGA-DU-8166-01	TCGA-DU-8166-01	10.84	Brain Lower Grade Glioma	Brain
TCGA-HT-7882-01	TCGA-HT-7882-01	10.84	Brain Lower Grade Glioma	Brain
GTEX-12696-2926-SM-5FQTG	GTEX-12696-2926-SM-5FQTG	10.83	Brain - Cortex	Brain
GTEX-WVLH-3026-SM-3MJG9	GTEX-WVLH-3026-SM-3MJG9	10.83	Brain - Cortex	Brain
GTEX-11GSO-0011-R3b-SM-57WB2	GTEX-11GSO-0011-R3b-SM-57WB2	10.83	Brain - Anterior Cingulate Cortex (Ba24)	Brain
GTEX-13X6J-0011-R3b-SM-5P9K5	GTEX-13X6J-0011-R3b-SM-5P9K5	10.83	Brain - Anterior Cingulate Cortex (Ba24)	Brain
GTEX-12ZZX-0011-R10b-SM-5DUWK	GTEX-12ZZX-0011-R10b-SM-5DUWK	10.83	Brain - Frontal Cortex (Ba9)	Brain
GTEX-13NYB-0011-R8a-SM-5KM4R	GTEX-13NYB-0011-R8a-SM-5KM4R	10.83	Brain - Hypothalamus	Brain
GTEX-13OVJ-0011-R8b-SM-5L3FS	GTEX-13OVJ-0011-R8b-SM-5L3FS	10.83	Brain - Hypothalamus	Brain
GTEX-13X6K-0011-R8b-SM-5PNZ4	GTEX-13X6K-0011-R8b-SM-5PNZ4	10.83	Brain - Hypothalamus	Brain
TCGA-DB-A4XC-01	TCGA-DB-A4XC-01	10.83	Brain Lower Grade Glioma	Brain
TCGA-QH-A6CS-01	TCGA-QH-A6CS-01	10.83	Brain Lower Grade Glioma	Brain
TCGA-S9-A6TX-01	TCGA-S9-A6TX-01	10.83	Brain Lower Grade Glioma	Brain
TCGA-VM-A8CD-01	TCGA-VM-A8CD-01	10.83	Brain Lower Grade Glioma	Brain
TCGA-VM-A8CH-01	TCGA-VM-A8CH-01	10.83	Brain Lower Grade Glioma	Brain
TCGA-06-5856-01	TCGA-06-5856-01	10.83	Glioblastoma Multiforme	Brain
TCGA-14-0787-01	TCGA-14-0787-01	10.83	Glioblastoma Multiforme	Brain
TCGA-14-1034-02	TCGA-14-1034-02	10.83	Glioblastoma Multiforme	Brain
GTEX-13OW6-0011-R2a-SM-5L3HG	GTEX-13OW6-0011-R2a-SM-5L3HG	10.82	Brain - Substantia Nigra	Brain
GTEX-WHSE-0011-R3A-SM-3P5ZM	GTEX-WHSE-0011-R3A-SM-3P5ZM	10.82	Brain - Anterior Cingulate Cortex (Ba24)	Brain
GTEX-Z93S-0011-R3b-SM-4RGNH	GTEX-Z93S-0011-R3b-SM-4RGNH	10.82	Brain - Anterior Cingulate Cortex (Ba24)	Brain
GTEX-139UW-0011-R9b-SM-5LZYT	GTEX-139UW-0011-R9b-SM-5LZYT	10.82	Brain - Spinal Cord (Cervical C-1)	Brain
TCGA-HT-A4DV-01	TCGA-HT-A4DV-01	10.82	Brain Lower Grade Glioma	Brain
TCGA-S9-A7R2-01	TCGA-S9-A7R2-01	10.82	Brain Lower Grade Glioma	Brain
TCGA-19-2629-01	TCGA-19-2629-01	10.82	Glioblastoma Multiforme	Brain
GTEX-ZUA1-3026-SM-59HJC	GTEX-ZUA1-3026-SM-59HJC	10.81	Brain - Cortex	Brain
GTEX-ZAB4-0011-R2a-SM-4RGNP	GTEX-ZAB4-0011-R2a-SM-4RGNP	10.81	Brain - Substantia Nigra	Brain
GTEX-13QIC-0011-R3a-SM-5P9HT	GTEX-13QIC-0011-R3a-SM-5P9HT	10.81	Brain - Anterior Cingulate Cortex (Ba24)	Brain
GTEX-1313W-0011-R10b-SM-5DUXA	GTEX-1313W-0011-R10b-SM-5DUXA	10.81	Brain - Frontal Cortex (Ba9)	Brain
GTEX-13QIC-0011-R10a-SM-5O9C7	GTEX-13QIC-0011-R10a-SM-5O9C7	10.81	Brain - Frontal Cortex (Ba9)	Brain
GTEX-11H98-0011-R5b-SM-57WCF	GTEX-11H98-0011-R5b-SM-57WCF	10.81	Brain - Caudate (Basal Ganglia)	Brain
GTEX-13X6K-0011-R7b-SM-5P9K7	GTEX-13X6K-0011-R7b-SM-5P9K7	10.81	Brain - Putamen (Basal Ganglia)	Brain
GTEX-1399T-0011-R8b-SM-5IJD8	GTEX-1399T-0011-R8b-SM-5IJD8	10.81	Brain - Hypothalamus	Brain
GTEX-13RTJ-0011-R8b-SM-5O9DL	GTEX-13RTJ-0011-R8b-SM-5O9DL	10.81	Brain - Hypothalamus	Brain
GTEX-144GL-0011-R8a-SM-5Q5B1	GTEX-144GL-0011-R8a-SM-5Q5B1	10.81	Brain - Hypothalamus	Brain
GTEX-12126-0011-R9b-SM-5BC6P	GTEX-12126-0011-R9b-SM-5BC6P	10.81	Brain - Spinal Cord (Cervical C-1)	Brain
GTEX-13X6K-0011-R4b-SM-5P9HO	GTEX-13X6K-0011-R4b-SM-5P9HO	10.81	Brain - Amygdala	Brain
TCGA-DB-A75P-01	TCGA-DB-A75P-01	10.81	Brain Lower Grade Glioma	Brain
TCGA-FG-8182-01	TCGA-FG-8182-01	10.81	Brain Lower Grade Glioma	Brain
TCGA-S9-A6WN-01	TCGA-S9-A6WN-01	10.81	Brain Lower Grade Glioma	Brain
TCGA-28-5218-01	TCGA-28-5218-01	10.81	Glioblastoma Multiforme	Brain
GTEX-139TT-0011-R3b-SM-5K7VL	GTEX-139TT-0011-R3b-SM-5K7VL	10.80	Brain - Anterior Cingulate Cortex (Ba24)	Brain
GTEX-13X6I-0011-R3b-SM-5P9HM	GTEX-13X6I-0011-R3b-SM-5P9HM	10.80	Brain - Anterior Cingulate Cortex (Ba24)	Brain
GTEX-XOTO-0011-R3A-SM-4B64W	GTEX-XOTO-0011-R3A-SM-4B64W	10.80	Brain - Anterior Cingulate Cortex (Ba24)	Brain
GTEX-S7SE-0011-R10A-SM-2XCDF	GTEX-S7SE-0011-R10A-SM-2XCDF	10.80	Brain - Frontal Cortex (Ba9)	Brain
GTEX-ZAB4-0011-R10a-SM-4SOKH	GTEX-ZAB4-0011-R10a-SM-4SOKH	10.80	Brain - Frontal Cortex (Ba9)	Brain
GTEX-13N2G-0011-R6b-SM-5MR3P	GTEX-13N2G-0011-R6b-SM-5MR3P	10.80	Brain - Nucleus Accumbens (Basal Ganglia)	Brain
GTEX-14753-0011-R6b-SM-5S2UD	GTEX-14753-0011-R6b-SM-5S2UD	10.80	Brain - Nucleus Accumbens (Basal Ganglia)	Brain
GTEX-14ABY-0011-R6a-SM-5PNWR	GTEX-14ABY-0011-R6a-SM-5PNWR	10.80	Brain - Nucleus Accumbens (Basal Ganglia)	Brain
GTEX-145MH-0011-R8a-SM-5PNUL	GTEX-145MH-0011-R8a-SM-5PNUL	10.80	Brain - Hypothalamus	Brain
GTEX-131XW-0011-R9a-SM-5N9EO	GTEX-131XW-0011-R9a-SM-5N9EO	10.80	Brain - Spinal Cord (Cervical C-1)	Brain
GTEX-WHSE-0011-R4A-SM-3P5ZN	GTEX-WHSE-0011-R4A-SM-3P5ZN	10.80	Brain - Amygdala	Brain
TCGA-DB-A75L-01	TCGA-DB-A75L-01	10.80	Brain Lower Grade Glioma	Brain
TCGA-HT-8011-01	TCGA-HT-8011-01	10.80	Brain Lower Grade Glioma	Brain
TCGA-06-0644-01	TCGA-06-0644-01	10.80	Glioblastoma Multiforme	Brain
TCGA-32-2615-01	TCGA-32-2615-01	10.80	Glioblastoma Multiforme	Brain
GTEX-11NV4-2126-SM-5N9DS	GTEX-11NV4-2126-SM-5N9DS	10.79	Brain - Cortex	Brain
GTEX-Q2AG-0011-R3A-SM-2HMJ9	GTEX-Q2AG-0011-R3A-SM-2HMJ9	10.79	Brain - Anterior Cingulate Cortex (Ba24)	Brain
GTEX-12WSA-0011-R10b-SM-5P9ET	GTEX-12WSA-0011-R10b-SM-5P9ET	10.79	Brain - Frontal Cortex (Ba9)	Brain
GTEX-12ZZY-0011-R10b-SM-5HL7W	GTEX-12ZZY-0011-R10b-SM-5HL7W	10.79	Brain - Frontal Cortex (Ba9)	Brain
GTEX-13PLJ-0011-R5a-SM-5O9BG	GTEX-13PLJ-0011-R5a-SM-5O9BG	10.79	Brain - Caudate (Basal Ganglia)	Brain
GTEX-13OVJ-0011-R6b-SM-5L3GH	GTEX-13OVJ-0011-R6b-SM-5L3GH	10.79	Brain - Nucleus Accumbens (Basal Ganglia)	Brain
GTEX-ZDXO-0011-R8a-SM-4WWD7	GTEX-ZDXO-0011-R8a-SM-4WWD7	10.79	Brain - Hypothalamus	Brain
GTEX-13FXS-0011-R9a-SM-5K7UI	GTEX-13FXS-0011-R9a-SM-5K7UI	10.79	Brain - Spinal Cord (Cervical C-1)	Brain
GTEX-13RTJ-0011-R4b-SM-5PNX1	GTEX-13RTJ-0011-R4b-SM-5PNX1	10.79	Brain - Amygdala	Brain
GTEX-P44H-0011-R4A-SM-2XCEW	GTEX-P44H-0011-R4A-SM-2XCEW	10.79	Brain - Amygdala	Brain
TCGA-06-0749-01	TCGA-06-0749-01	10.79	Glioblastoma Multiforme	Brain
TCGA-16-1045-01	TCGA-16-1045-01	10.79	Glioblastoma Multiforme	Brain
GTEX-ZDXO-0011-R3a-SM-4WKFS	GTEX-ZDXO-0011-R3a-SM-4WKFS	10.78	Brain - Anterior Cingulate Cortex (Ba24)	Brain
GTEX-12WSC-0011-R10a-SM-5GU57	GTEX-12WSC-0011-R10a-SM-5GU57	10.78	Brain - Frontal Cortex (Ba9)	Brain
GTEX-13PL6-0011-R5b-SM-5O9BI	GTEX-13PL6-0011-R5b-SM-5O9BI	10.78	Brain - Caudate (Basal Ganglia)	Brain
GTEX-13PLJ-0011-R9b-SM-5O9DV	GTEX-13PLJ-0011-R9b-SM-5O9DV	10.78	Brain - Spinal Cord (Cervical C-1)	Brain
GTEX-WL46-0011-R9A-SM-3MJFP	GTEX-WL46-0011-R9A-SM-3MJFP	10.78	Brain - Spinal Cord (Cervical C-1)	Brain
TCGA-DU-8158-01	TCGA-DU-8158-01	10.78	Brain Lower Grade Glioma	Brain
TCGA-28-2513-01	TCGA-28-2513-01	10.78	Glioblastoma Multiforme	Brain
GTEX-14BMV-3026-SM-5S2PQ	GTEX-14BMV-3026-SM-5S2PQ	10.77	Brain - Cortex	Brain
GTEX-13G51-0011-R2b-SM-5LZXS	GTEX-13G51-0011-R2b-SM-5LZXS	10.77	Brain - Substantia Nigra	Brain
GTEX-WHSE-0011-R2A-SM-3P5ZL	GTEX-WHSE-0011-R2A-SM-3P5ZL	10.77	Brain - Substantia Nigra	Brain
GTEX-12WSF-0011-R3a-SM-5DUW7	GTEX-12WSF-0011-R3a-SM-5DUW7	10.77	Brain - Anterior Cingulate Cortex (Ba24)	Brain
GTEX-14BIN-0011-R10a-SM-5S2UA	GTEX-14BIN-0011-R10a-SM-5S2UA	10.77	Brain - Frontal Cortex (Ba9)	Brain
GTEX-QMR6-0011-R10A-SM-32PKO	GTEX-QMR6-0011-R10A-SM-32PKO	10.77	Brain - Frontal Cortex (Ba9)	Brain
GTEX-13N1W-0011-R5b-SM-5MR5Q	GTEX-13N1W-0011-R5b-SM-5MR5Q	10.77	Brain - Caudate (Basal Ganglia)	Brain
GTEX-Z93S-0011-R6b-SM-4RGNJ	GTEX-Z93S-0011-R6b-SM-4RGNJ	10.77	Brain - Nucleus Accumbens (Basal Ganglia)	Brain
GTEX-13FXS-0011-R8a-SM-5J1MN	GTEX-13FXS-0011-R8a-SM-5J1MN	10.77	Brain - Hypothalamus	Brain
GTEX-WHSE-0011-R8A-SM-3P5Z1	GTEX-WHSE-0011-R8A-SM-3P5Z1	10.77	Brain - Hypothalamus	Brain
GTEX-13N1W-0011-R9b-SM-5MR4R	GTEX-13N1W-0011-R9b-SM-5MR4R	10.77	Brain - Spinal Cord (Cervical C-1)	Brain
TCGA-DU-7292-01	TCGA-DU-7292-01	10.77	Brain Lower Grade Glioma	Brain
TCGA-FG-6688-01	TCGA-FG-6688-01	10.77	Brain Lower Grade Glioma	Brain
TCGA-HT-A5R5-01	TCGA-HT-A5R5-01	10.77	Brain Lower Grade Glioma	Brain
TCGA-HT-A617-01	TCGA-HT-A617-01	10.77	Brain Lower Grade Glioma	Brain
TCGA-06-0211-01	TCGA-06-0211-01	10.77	Glioblastoma Multiforme	Brain
TCGA-06-0211-02	TCGA-06-0211-02	10.77	Glioblastoma Multiforme	Brain
GTEX-11ZUS-2926-SM-5FQSL	GTEX-11ZUS-2926-SM-5FQSL	10.76	Brain - Cortex	Brain
GTEX-13O3Q-0011-R1b-SM-5KM3L	GTEX-13O3Q-0011-R1b-SM-5KM3L	10.76	Brain - Hippocampus	Brain
GTEX-13NYB-0011-R2a-SM-5MR3C	GTEX-13NYB-0011-R2a-SM-5MR3C	10.76	Brain - Substantia Nigra	Brain
GTEX-13RTJ-0011-R2a-SM-5PNW9	GTEX-13RTJ-0011-R2a-SM-5PNW9	10.76	Brain - Substantia Nigra	Brain
GTEX-Q2AG-0011-R2A-SM-2HMIT	GTEX-Q2AG-0011-R2A-SM-2HMIT	10.76	Brain - Substantia Nigra	Brain
GTEX-12ZZZ-0011-R10a-SM-5P9HC	GTEX-12ZZZ-0011-R10a-SM-5P9HC	10.76	Brain - Frontal Cortex (Ba9)	Brain
GTEX-139TS-0011-R10a-SM-5K7TU	GTEX-139TS-0011-R10a-SM-5K7TU	10.76	Brain - Frontal Cortex (Ba9)	Brain
GTEX-11OF3-0011-R5a-SM-57WB4	GTEX-11OF3-0011-R5a-SM-57WB4	10.76	Brain - Caudate (Basal Ganglia)	Brain
GTEX-13O3Q-0011-R5b-SM-5P9H4	GTEX-13O3Q-0011-R5b-SM-5P9H4	10.76	Brain - Caudate (Basal Ganglia)	Brain
GTEX-13NYB-0011-R6b-SM-5MR51	GTEX-13NYB-0011-R6b-SM-5MR51	10.76	Brain - Nucleus Accumbens (Basal Ganglia)	Brain
GTEX-147F4-0011-R8b-SM-5S2UN	GTEX-147F4-0011-R8b-SM-5S2UN	10.76	Brain - Hypothalamus	Brain
GTEX-XLM4-0011-R8A-SM-4AT44	GTEX-XLM4-0011-R8A-SM-4AT44	10.76	Brain - Hypothalamus	Brain
TCGA-HT-A61C-01	TCGA-HT-A61C-01	10.76	Brain Lower Grade Glioma	Brain
TCGA-P5-A780-01	TCGA-P5-A780-01	10.76	Brain Lower Grade Glioma	Brain
TCGA-S9-A7R8-01	TCGA-S9-A7R8-01	10.76	Brain Lower Grade Glioma	Brain
TCGA-06-0645-01	TCGA-06-0645-01	10.76	Glioblastoma Multiforme	Brain
TCGA-06-5859-01	TCGA-06-5859-01	10.76	Glioblastoma Multiforme	Brain
GTEX-WZTO-2926-SM-3NM9I	GTEX-WZTO-2926-SM-3NM9I	10.75	Brain - Cortex	Brain
GTEX-X4EP-0011-R2B-SM-3P625	GTEX-X4EP-0011-R2B-SM-3P625	10.75	Brain - Substantia Nigra	Brain
GTEX-13X6K-0011-R3b-SM-5PNUD	GTEX-13X6K-0011-R3b-SM-5PNUD	10.75	Brain - Anterior Cingulate Cortex (Ba24)	Brain
GTEX-13G51-0011-R10b-SM-5LZYF	GTEX-13G51-0011-R10b-SM-5LZYF	10.75	Brain - Frontal Cortex (Ba9)	Brain
GTEX-P44H-0011-R10A-SM-2XCEK	GTEX-P44H-0011-R10A-SM-2XCEK	10.75	Brain - Frontal Cortex (Ba9)	Brain
GTEX-Y8DK-0011-R10A-SM-4SOK1	GTEX-Y8DK-0011-R10A-SM-4SOK1	10.75	Brain - Frontal Cortex (Ba9)	Brain
GTEX-YJ89-0011-R6a-SM-4V6GN	GTEX-YJ89-0011-R6a-SM-4V6GN	10.75	Brain - Nucleus Accumbens (Basal Ganglia)	Brain
GTEX-12WSB-0011-R7b-SM-5GU6V	GTEX-12WSB-0011-R7b-SM-5GU6V	10.75	Brain - Putamen (Basal Ganglia)	Brain
GTEX-11OF3-0011-R8b-SM-57WCS	GTEX-11OF3-0011-R8b-SM-57WCS	10.75	Brain - Hypothalamus	Brain
GTEX-13FTY-0011-R9b-SM-5KM2U	GTEX-13FTY-0011-R9b-SM-5KM2U	10.75	Brain - Spinal Cord (Cervical C-1)	Brain
TCGA-DU-5847-01	TCGA-DU-5847-01	10.75	Brain Lower Grade Glioma	Brain
TCGA-06-0157-01	TCGA-06-0157-01	10.75	Glioblastoma Multiforme	Brain
TCGA-06-2561-01	TCGA-06-2561-01	10.75	Glioblastoma Multiforme	Brain
TCGA-26-5135-01	TCGA-26-5135-01	10.75	Glioblastoma Multiforme	Brain
TCGA-27-2523-01	TCGA-27-2523-01	10.75	Glioblastoma Multiforme	Brain
TCGA-76-4927-01	TCGA-76-4927-01	10.75	Glioblastoma Multiforme	Brain
GTEX-T6MN-2626-SM-32PMQ	GTEX-T6MN-2626-SM-32PMQ	10.74	Brain - Cortex	Brain
GTEX-144GL-0011-R1a-SM-5PNZ5	GTEX-144GL-0011-R1a-SM-5PNZ5	10.74	Brain - Hippocampus	Brain
GTEX-147F4-0011-R10b-SM-5S2WC	GTEX-147F4-0011-R10b-SM-5S2WC	10.74	Brain - Frontal Cortex (Ba9)	Brain
GTEX-139UC-0011-R11a-SM-5KM3J	GTEX-139UC-0011-R11a-SM-5KM3J	10.74	Brain - Cerebellar Hemisphere	Brain
GTEX-ZV68-0011-R7a-SM-51MT4	GTEX-ZV68-0011-R7a-SM-51MT4	10.74	Brain - Putamen (Basal Ganglia)	Brain
GTEX-13X6I-0011-R8a-SM-5PNZF	GTEX-13X6I-0011-R8a-SM-5PNZF	10.74	Brain - Hypothalamus	Brain
GTEX-11ZUS-0011-R9b-SM-5BC76	GTEX-11ZUS-0011-R9b-SM-5BC76	10.74	Brain - Spinal Cord (Cervical C-1)	Brain
GTEX-13RTJ-0011-R9a-SM-5Q5AY	GTEX-13RTJ-0011-R9a-SM-5Q5AY	10.74	Brain - Spinal Cord (Cervical C-1)	Brain
GTEX-13O3Q-0011-R4a-SM-5P9H2	GTEX-13O3Q-0011-R4a-SM-5P9H2	10.74	Brain - Amygdala	Brain
TCGA-E1-A7YN-01	TCGA-E1-A7YN-01	10.74	Brain Lower Grade Glioma	Brain
TCGA-HT-8104-01	TCGA-HT-8104-01	10.74	Brain Lower Grade Glioma	Brain
TCGA-S9-A6U9-01	TCGA-S9-A6U9-01	10.74	Brain Lower Grade Glioma	Brain
TCGA-06-0190-02	TCGA-06-0190-02	10.74	Glioblastoma Multiforme	Brain
TCGA-06-0686-01	TCGA-06-0686-01	10.74	Glioblastoma Multiforme	Brain
TCGA-12-3652-01	TCGA-12-3652-01	10.74	Glioblastoma Multiforme	Brain
TCGA-19-5960-01	TCGA-19-5960-01	10.74	Glioblastoma Multiforme	Brain
TCGA-28-5208-01	TCGA-28-5208-01	10.74	Glioblastoma Multiforme	Brain
GTEX-13FXS-0011-R1a-SM-5K7U6	GTEX-13FXS-0011-R1a-SM-5K7U6	10.73	Brain - Hippocampus	Brain
GTEX-13CF2-0011-R2a-SM-5L3DC	GTEX-13CF2-0011-R2a-SM-5L3DC	10.73	Brain - Substantia Nigra	Brain
GTEX-YFC4-0011-R2a-SM-4V6DZ	GTEX-YFC4-0011-R2a-SM-4V6DZ	10.73	Brain - Substantia Nigra	Brain
GTEX-144GL-0011-R3a-SM-5P9HP	GTEX-144GL-0011-R3a-SM-5P9HP	10.73	Brain - Anterior Cingulate Cortex (Ba24)	Brain
GTEX-13VXU-0011-R6a-SM-5SI71	GTEX-13VXU-0011-R6a-SM-5SI71	10.73	Brain - Nucleus Accumbens (Basal Ganglia)	Brain
GTEX-T5JC-0011-R6A-SM-5SI89	GTEX-T5JC-0011-R6A-SM-5SI89	10.73	Brain - Nucleus Accumbens (Basal Ganglia)	Brain
GTEX-12WSC-0011-R9a-SM-5GU4U	GTEX-12WSC-0011-R9a-SM-5GU4U	10.73	Brain - Spinal Cord (Cervical C-1)	Brain
TCGA-P5-A5F2-01	TCGA-P5-A5F2-01	10.73	Brain Lower Grade Glioma	Brain
TCGA-41-2572-01	TCGA-41-2572-01	10.73	Glioblastoma Multiforme	Brain
GTEX-13FLW-1426-SM-5K7YE	GTEX-13FLW-1426-SM-5K7YE	10.72	Brain - Cortex	Brain
GTEX-N7MS-2425-SM-26GMD	GTEX-N7MS-2425-SM-26GMD	10.72	Brain - Cortex	Brain
GTEX-WL46-2926-SM-3LK82	GTEX-WL46-2926-SM-3LK82	10.72	Brain - Cortex	Brain
GTEX-Y8DK-0826-SM-4TT3T	GTEX-Y8DK-0826-SM-4TT3T	10.72	Brain - Cortex	Brain
GTEX-131YS-0011-R1a-SM-5DUXC	GTEX-131YS-0011-R1a-SM-5DUXC	10.72	Brain - Hippocampus	Brain
