sample	samples	MRPS16	primary disease or tissue	_primary_site
TCGA-BC-A3KG-01	TCGA-BC-A3KG-01	12.27	Liver Hepatocellular Carcinoma	Liver
TCGA-CC-A3M9-01	TCGA-CC-A3M9-01	12.27	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-AAEE-01	TCGA-DD-AAEE-01	12.27	Liver Hepatocellular Carcinoma	Liver
TCGA-ED-A7PX-01	TCGA-ED-A7PX-01	12.27	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-AACB-01	TCGA-DD-AACB-01	12.26	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-AADJ-01	TCGA-DD-AADJ-01	12.26	Liver Hepatocellular Carcinoma	Liver
TCGA-G3-A25T-01	TCGA-G3-A25T-01	12.26	Liver Hepatocellular Carcinoma	Liver
TCGA-G3-A25Z-01	TCGA-G3-A25Z-01	12.26	Liver Hepatocellular Carcinoma	Liver
TCGA-UB-A7MF-01	TCGA-UB-A7MF-01	12.26	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-AADD-01	TCGA-DD-AADD-01	12.25	Liver Hepatocellular Carcinoma	Liver
TCGA-FV-A4ZQ-01	TCGA-FV-A4ZQ-01	12.25	Liver Hepatocellular Carcinoma	Liver
TCGA-NI-A8LF-01	TCGA-NI-A8LF-01	12.24	Liver Hepatocellular Carcinoma	Liver
TCGA-2Y-A9H0-01	TCGA-2Y-A9H0-01	12.23	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-A3A5-01	TCGA-DD-A3A5-01	12.23	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-A73B-01	TCGA-DD-A73B-01	12.23	Liver Hepatocellular Carcinoma	Liver
TCGA-DD-AADK-01	TCGA-DD-AADK-01	12.23	Liver Hepatocellular Carcinoma	Liver
GTEX-11TT1-1726-SM-5EQLJ	GTEX-11TT1-1726-SM-5EQLJ	12.22	Liver	Liver
TCGA-2Y-A9H1-01	TCGA-2Y-A9H1-01	12.22	Liver Hepatocellular Carcinoma	Liver
